Mă ;Tên nhóm;Ch?nh s?a
Tài phát ;NGU?N PH̉NG TR? TOÀN HÀ N?I TÀI PHÁT - TÀI PHÁT LAND;thêm mă 
ND;ND HOME - NGU?N HÀNG NGON ;Tthêm kư hi?u ??u ḍng +  ch?nh giá v? d?ng  Xtr ( ví d? 8tr --> 8tr , 8.000.000 --> 8tr , 8,5tr --> 8tr , 8.5tr--> 8tr5  , 8.500k --8tr5 ) +
phongtot;PH̉NG T?T HN - MĂ A - D??i 4tr ;Xóa hh + thêm mă 
phongtot;PH̉NG T?T HN - D??I 5 TRI?U;Xóa hh + thêm mă 
phongtot ;PH̉NG T?T HN - TRÊN 5 TRI?U ;Xóa hh + thêm mă 
phongtot ;PH̉NG T?T HN - Mă A - Nhà M?i ;Xóa hh + thêm mă 
dl;DL Homes;Xóa hh + xóa ḍng liên l?c / lh + thêm mă 
ph??ng th?o;Nhomd ngu?n ctv Ph??ng Th?o;Xóa hh + thêm mă 
npland;Npland - Sale pḥng HN ;Xóa hh + thêm mă ( nhóm này ?nh tr??c thông tin sau nha ) 
invest;D??y pḥng A Qu?nh Invest ;Thêm mă ( nhóm này ?nh tr??c thông tin sau ) 
